,country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,totalTests,testsPerOneMillion
0,World,114611217,245593,2541361,4596,90164681.0,21905175.0,90575,14704,326,0,0
1,USA,29240106,37273,525610,938,19673795.0,9040701.0,15070,87998,1582,358724188,1079573
2,India,11112012,15572,157193,106,10784528.0,170291.0,8944,8000,113,216231106,155681
3,Brazil,10517232,0,254263,0,9386440.0,876529.0,8318,49248,1191,28600000,133923
4,Russia,4246079,11359,86122,379,3811797.0,348160.0,2300,29088,590,111000000,760400
5,UK,4176554,6035,122849,144,2905317.0,1148388.0,1971,61310,1803,89162545,1308878
6,France,3755968,19952,86454,122,254868.0,3414646.0,3430,57458,1323,51853607,793245
7,Spain,3188553,0,69142,0,2647446.0,471965.0,3021,68180,1478,38491517,823053
8,Italy,2925265,17455,97699,192,2405199.0,422367.0,2231,48429,1617,40132887,664419
9,Turkey,2701588,8424,28569,66,2572234.0,100785.0,1191,31807,336,33175016,390587
10,Germany,2450294,6117,70687,98,2248400.0,131207.0,2848,29184,842,43950029,523458
11,Colombia,2248135,0,59660,0,2145450.0,43025.0,2240,43875,1164,11427482,223019
12,Argentina,2104197,0,51946,0,1899087.0,153164.0,3494,46278,1142,7405891,162878
13,Mexico,2084128,7246,185257,783,1630002.0,268869.0,4798,16053,1427,5443167,41927
14,Poland,1706986,10099,43769,114,1422829.0,240388.0,1503,45135,1157,9868422,260937
15,Iran,1631169,8010,60073,93,1393125.0,177971.0,3732,19258,709,10853800,128144
16,South Africa,1513393,1168,49993,52,1430259.0,33141.0,546,25307,836,9077479,151796
17,Ukraine,1347849,5833,25982,89,1170023.0,151844.0,177,30943,596,6845974,157164
18,Indonesia,1334634,5560,36166,185,1142703.0,155765.0,0,4846,131,10799191,39209
19,Peru,1323863,0,46299,0,1225994.0,51570.0,2141,39787,1391,7541959,226665
20,Czechia,1235480,7798,20339,84,1067557.0,147584.0,1523,115227,1897,8024849,748439
21,Netherlands,1088690,4669,15563,20,,,518,63444,907,6970400,406202
22,Canada,865995,1799,21990,30,813287.0,30718.0,567,22813,579,24328440,640894
