view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,house_age,dormitory_type,condition_type
0,1970-01-01 00:00:00.000000003,7,1180,0,1955-01-01,0,98178,47.5112,-122.257,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,2170,400,1951-01-01,1991,98125,47.721,-122.319,new_house,house,regular
0,1970-01-01 00:00:00.000000003,6,770,0,1933-01-01,0,98028,47.7379,-122.233,new_house,apartament,regular
0,1970-01-01 00:00:00.000000005,7,1050,910,1965-01-01,0,98136,47.5208,-122.393,new_house,house,good
0,1970-01-01 00:00:00.000000003,8,1680,0,1987-01-01,0,98074,47.6168,-122.045,new_house,house,regular
0,1970-01-01 00:00:00.000000003,11,3890,1530,2001-01-01,0,98053,47.6561,-122.005,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1715,0,1995-01-01,0,98003,47.3097,-122.327,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1060,0,1963-01-01,0,98198,47.4095,-122.315,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1050,730,1960-01-01,0,98146,47.5123,-122.337,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1890,0,2003-01-01,0,98038,47.3684,-122.031,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,1860,1700,1965-01-01,0,98007,47.6007,-122.145,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,860,300,1942-01-01,0,98115,47.69,-122.292,new_house,apartament,regular
0,1970-01-01 00:00:00.000000004,7,1430,0,1927-01-01,0,98028,47.7558,-122.229,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,1370,0,1977-01-01,0,98074,47.6127,-122.045,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1810,0,1900-01-01,0,98107,47.67,-122.394,new_house,house,regular
3,1970-01-01 00:00:00.000000003,9,1980,970,1979-01-01,0,98126,47.5714,-122.375,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1890,0,1994-01-01,0,98019,47.7277,-121.962,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,1600,0,1916-01-01,0,98103,47.6648,-122.343,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,1200,0,1921-01-01,0,98002,47.3089,-122.21,new_house,apartament,regular
0,1970-01-01 00:00:00.000000004,7,1250,0,1969-01-01,0,98003,47.3343,-122.306,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,860,760,1947-01-01,0,98133,47.7025,-122.341,new_house,house,regular
4,1970-01-01 00:00:00.000000003,9,2330,720,1968-01-01,0,98040,47.5316,-122.233,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,2270,0,1995-01-01,0,98092,47.3266,-122.169,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1070,0,1985-01-01,0,98030,47.3533,-122.166,new_house,apartament,regular
0,1970-01-01 00:00:00.000000004,8,2450,0,1985-01-01,0,98030,47.3739,-122.172,new_house,house,regular
0,1970-01-01 00:00:00.000000005,6,1710,0,1941-01-01,0,98002,47.3048,-122.218,new_house,house,good
0,1970-01-01 00:00:00.000000003,8,1750,700,1915-01-01,0,98119,47.6386,-122.36,new_house,house,regular
0,1970-01-01 00:00:00.000000005,8,1400,0,1909-01-01,0,98112,47.6221,-122.314,new_house,house,good
0,1970-01-01 00:00:00.000000003,7,790,730,1948-01-01,0,98115,47.695,-122.304,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,2570,0,2005-01-01,0,98052,47.7073,-122.11,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,2320,0,2003-01-01,0,98027,47.5391,-122.07,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1190,0,2005-01-01,0,98133,47.7274,-122.357,new_house,apartament,regular
0,1970-01-01 00:00:00.000000004,7,1510,820,1929-01-01,0,98117,47.6823,-122.368,new_house,house,regular
0,1970-01-01 00:00:00.000000004,8,1090,0,1929-01-01,0,98117,47.6889,-122.375,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1280,780,1981-01-01,0,98058,47.4276,-122.157,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,1510,790,1930-01-01,2002,98115,47.6827,-122.31,new_house,house,regular
0,1970-01-01 00:00:00.000000001,5,930,730,1933-01-01,0,98052,47.6621,-122.132,new_house,house,bad
0,1970-01-01 00:00:00.000000004,8,2360,0,1904-01-01,0,98107,47.6702,-122.362,new_house,house,regular
0,1970-01-01 00:00:00.000000002,7,890,330,1969-01-01,0,98001,47.3341,-122.282,new_house,house,bad
0,1970-01-01 00:00:00.000000003,8,2620,0,1996-01-01,0,98056,47.5301,-122.18,new_house,house,regular
0,1970-01-01 00:00:00.000000003,9,2570,0,2000-01-01,0,98074,47.6145,-122.027,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,2600,1620,1984-01-01,0,98166,47.445,-122.347,new_house,house,regular
0,1970-01-01 00:00:00.000000003,9,3595,0,2014-01-01,0,98053,47.6848,-122.016,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1570,0,1922-01-01,0,98119,47.6413,-122.364,new_house,house,regular
0,1970-01-01 00:00:00.000000004,6,920,360,1959-01-01,0,98058,47.4485,-122.175,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,3160,0,2003-01-01,0,98019,47.7443,-121.977,new_house,house,regular
0,1970-01-01 00:00:00.000000003,6,990,0,1966-01-01,0,98023,47.3066,-122.371,new_house,house,regular
0,1970-01-01 00:00:00.000000004,9,2290,0,1981-01-01,0,98007,47.6194,-122.151,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,1250,0,1953-01-01,0,98115,47.6796,-122.301,new_house,house,regular
2,1970-01-01 00:00:00.000000005,9,2165,588,1953-01-01,0,98070,47.4041,-122.451,new_house,house,good
0,1970-01-01 00:00:00.000000003,7,1190,0,1955-01-01,0,98148,47.4258,-122.322,new_house,house,regular
0,1970-01-01 00:00:00.000000004,8,1640,1510,1966-01-01,0,98056,47.4934,-122.189,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,1000,410,1950-01-01,0,98117,47.6808,-122.384,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,990,990,1981-01-01,0,98117,47.6989,-122.369,new_house,apartament,regular
0,1970-01-01 00:00:00.000000003,8,2130,600,1927-01-01,0,98105,47.6571,-122.281,new_house,house,regular
0,1970-01-01 00:00:00.000000003,9,2830,0,1995-01-01,0,98105,47.6597,-122.29,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,2250,0,2008-01-01,0,98042,47.3663,-122.114,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,2420,0,2003-01-01,0,98042,47.3663,-122.122,new_house,house,regular
4,1970-01-01 00:00:00.000000004,8,3250,0,1968-01-01,0,98008,47.588,-122.116,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,1850,0,1991-01-01,0,98059,47.5059,-122.149,new_house,house,regular
3,1970-01-01 00:00:00.000000004,8,1590,560,1959-01-01,0,98166,47.4336,-122.339,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1260,0,1954-01-01,0,98148,47.4366,-122.335,new_house,house,regular
0,1970-01-01 00:00:00.000000005,8,2519,0,1973-01-01,0,98166,47.4428,-122.344,new_house,house,good
0,1970-01-01 00:00:00.000000003,8,1540,0,2014-01-01,0,98115,47.6765,-122.32,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1110,550,1979-01-01,0,98122,47.6113,-122.297,new_house,house,regular
0,1970-01-01 00:00:00.000000005,7,1770,1000,1925-01-01,0,98144,47.5747,-122.304,new_house,house,good
0,1970-01-01 00:00:00.000000003,10,2720,0,1989-01-01,0,98004,47.5815,-122.192,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,2240,0,2005-01-01,0,98001,47.3378,-122.257,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,1000,0,1968-01-01,0,98042,47.3621,-122.11,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,1600,1600,1965-01-01,0,98004,47.6303,-122.215,new_house,house,regular
0,1970-01-01 00:00:00.000000004,11,3070,1700,1973-01-01,0,98005,47.6525,-122.16,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,1260,0,1972-01-01,0,98034,47.7362,-122.179,new_house,house,regular
0,1970-01-01 00:00:00.000000005,7,2250,500,1916-01-01,0,98125,47.7168,-122.287,new_house,house,good
0,1970-01-01 00:00:00.000000003,8,2380,0,2005-01-01,0,98038,47.3608,-122.036,new_house,house,regular
0,1970-01-01 00:00:00.000000005,7,1090,700,1965-01-01,0,98042,47.3511,-122.073,new_house,house,good
0,1970-01-01 00:00:00.000000004,10,2390,1040,1986-01-01,0,98075,47.5822,-121.987,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,880,880,1956-01-01,0,98008,47.6034,-122.125,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1040,0,1941-01-01,0,98116,47.5636,-122.394,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,910,500,1956-01-01,0,98133,47.7073,-122.34,new_house,house,regular
0,1970-01-01 00:00:00.000000003,10,3450,0,2002-01-01,0,98010,47.342,-122.025,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,2350,0,2003-01-01,0,98038,47.3512,-122.008,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1900,0,1992-01-01,0,98038,47.349,-122.031,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1010,1010,1948-01-01,0,98118,47.5474,-122.291,new_house,apartament,regular
0,1970-01-01 00:00:00.000000003,8,1680,0,1964-01-01,0,98059,47.4811,-122.149,new_house,house,regular
0,1970-01-01 00:00:00.000000003,6,960,0,1952-01-01,0,98125,47.7264,-122.31,new_house,house,regular
0,1970-01-01 00:00:00.000000003,9,1900,240,1925-01-01,0,98119,47.6337,-122.365,new_house,house,regular
0,1970-01-01 00:00:00.000000005,7,2660,0,1961-01-01,0,98092,47.2909,-122.189,new_house,house,good
0,1970-01-01 00:00:00.000000003,9,1980,790,2006-01-01,0,98056,47.5228,-122.199,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,1610,0,1979-01-01,0,98056,47.518,-122.194,new_house,apartament,regular
0,1970-01-01 00:00:00.000000003,7,765,265,2006-01-01,0,98136,47.5394,-122.387,new_house,apartament,regular
0,1970-01-01 00:00:00.000000003,7,1980,0,1988-01-01,0,98023,47.2897,-122.372,new_house,house,regular
0,1970-01-01 00:00:00.000000004,10,3520,0,2001-01-01,0,98199,47.6506,-122.391,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1200,0,1962-01-01,0,98023,47.322,-122.351,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,1290,290,1939-01-01,0,98117,47.687,-122.386,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,1290,290,1939-01-01,0,98117,47.687,-122.386,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,2390,910,1946-01-01,1991,98040,47.5873,-122.249,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1960,0,1967-01-01,0,98032,47.3576,-122.277,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,1160,0,1975-01-01,0,98023,47.3036,-122.378,new_house,house,regular
0,1970-01-01 00:00:00.000000005,7,1210,600,1980-01-01,0,98038,47.4109,-121.958,new_house,house,good
2,1970-01-01 00:00:00.000000003,9,2320,0,1992-01-01,0,98045,47.4838,-121.714,new_house,house,regular
0,1970-01-01 00:00:00.000000005,9,1270,800,1910-01-01,0,98102,47.6415,-122.315,new_house,house,good
0,1970-01-01 00:00:00.000000004,7,1440,540,1929-01-01,0,98117,47.6775,-122.372,new_house,house,regular
0,1970-01-01 00:00:00.000000004,8,2190,0,1983-01-01,0,98077,47.7731,-122.08,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,2920,0,1950-01-01,2010,98004,47.5814,-122.196,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1210,0,1954-01-01,0,98058,47.4375,-122.184,new_house,house,regular
0,1970-01-01 00:00:00.000000004,8,1460,880,1978-01-01,0,98058,47.4431,-122.133,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,1170,500,1939-01-01,0,98117,47.6878,-122.38,new_house,house,regular
0,1970-01-01 00:00:00.000000004,8,1240,0,1985-01-01,0,98198,47.3813,-122.322,new_house,apartament,regular
0,1970-01-01 00:00:00.000000004,10,3140,0,1991-01-01,0,98077,47.7304,-122.082,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,2030,0,1942-01-01,0,98052,47.6417,-122.109,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,2310,0,1984-01-01,0,98027,47.5386,-122.053,new_house,house,regular
0,1970-01-01 00:00:00.000000005,6,700,560,1905-01-01,0,98103,47.6823,-122.349,new_house,house,good
0,1970-01-01 00:00:00.000000004,7,1160,380,1980-01-01,0,98038,47.3624,-122.031,new_house,house,regular
2,1970-01-01 00:00:00.000000003,7,1080,1000,1971-01-01,0,98108,47.5474,-122.295,new_house,house,regular
3,1970-01-01 00:00:00.000000003,9,2520,710,2001-01-01,0,98001,47.3183,-122.253,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,2780,1600,1900-01-01,1999,98117,47.6981,-122.368,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,1590,0,2010-01-01,0,98103,47.6824,-122.347,new_house,house,regular
0,1970-01-01 00:00:00.000000004,6,880,0,1945-01-01,0,98178,47.5009,-122.248,new_house,apartament,regular
0,1970-01-01 00:00:00.000000003,6,1570,0,1950-01-01,0,98168,47.4965,-122.303,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,1610,0,1925-01-01,0,98144,47.587,-122.294,new_house,house,regular
2,1970-01-01 00:00:00.000000003,8,1560,840,1964-01-01,0,98177,47.7728,-122.386,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1450,0,1987-01-01,0,98034,47.7288,-122.226,new_house,house,regular
0,1970-01-01 00:00:00.000000003,6,770,0,1953-01-01,0,98117,47.6999,-122.364,new_house,apartament,regular
0,1970-01-01 00:00:00.000000005,7,1720,380,1924-01-01,0,98118,47.5299,-122.266,new_house,house,good
0,1970-01-01 00:00:00.000000003,9,2910,0,1990-01-01,0,98052,47.6897,-122.098,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,1980,770,1914-01-01,1992,98004,47.6141,-122.212,new_house,house,regular
2,1970-01-01 00:00:00.000000003,8,1620,480,1967-01-01,0,98178,47.5091,-122.244,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,1360,800,1978-01-01,0,98023,47.3129,-122.39,new_house,house,regular
0,1970-01-01 00:00:00.000000005,7,1720,600,1926-01-01,0,98103,47.6763,-122.352,new_house,house,good
0,1970-01-01 00:00:00.000000003,7,2070,0,2004-01-01,0,98065,47.5319,-121.85,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,1060,0,1986-01-01,0,98092,47.2761,-122.152,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,1440,570,1986-01-01,0,98027,47.5343,-122.054,new_house,house,regular
0,1970-01-01 00:00:00.000000003,9,2460,1490,1989-01-01,0,98052,47.697,-122.072,new_house,house,regular
0,1970-01-01 00:00:00.000000003,8,1390,620,2014-01-01,0,98029,47.5517,-121.998,new_house,house,regular
0,1970-01-01 00:00:00.000000003,9,2140,0,2005-01-01,0,98107,47.6734,-122.38,new_house,house,regular
0,1970-01-01 00:00:00.000000004,7,1320,0,1956-01-01,0,98003,47.3257,-122.296,new_house,house,regular
0,1970-01-01 00:00:00.000000003,7,1010,1010,1968-01-01,0,98003,47.3309,-122.299,new_house,house,regular
0,1970-01-01 00:00:00.000000004,8,1340,1250,1968-01-01,0,98028,47.7689,-122.266,new_house,house,regular
0,1970-01-01 00:00:00.000000003,6,1190,0,1981-01-01,0,98125,47.7135,-122.287,new_house,apartament,regular
